2025-01-02 08:00 - 1, 1
2025-01-02 08:00 - 2, 2
2025-01-02 08:00 - 3, 3
2025-01-02 08:00 - 4, 3
2025-01-02 09:00 - 1, 0
2025-01-02 09:00 - 2, 0
2025-01-02 09:00 - 3, 0
2025-01-02 09:00 - 1, 1
2025-01-02 09:00 - 1, 0
2025-01-02 09:00 - 2, 0
2025-01-02 09:00 - 3, 0
2025-04-07 05:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 07:00 - 1, 0 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 14:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 14:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 14:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 14:00 - 2, 2 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 14:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 14:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 14:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 2, 2 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 2, 2 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 2, 2 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 15:00 - 1, 0 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 16:00 - 1, 0 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 16:00 - 2, 0 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 16:00 - 3, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 16:00 - 4, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 16:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 16:00 - 2, 2 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 16:00 - 3, 3 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 17:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 17:00 - 2, 2 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 17:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 17:00 - 1, 1 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 17:00 - 2, 2 = 6da1099d-105e-44e2-9733-b195e4326c82 
2025-04-08 17:00 - 1, 0 = 6da1099d-105e-44e2-9733-b195e4326c82 
